c-date,c-sha,cost
2023-01-19T09:02:25Z,80b73751e66aa87acf60fb823f8b9aac957b64f5,-1103.76
2023-01-19T09:07:55Z,3926591d933f0a0acabb05a3548adb4d65a280fd,-1287.72
2023-01-19T11:25:04Z,ab04b24a9de0ac22df35bc7c632732788eda3b54,551.88
